rank,trial_number,value,alpha_E,delta_E_center,delta_E_edge,delta_E_middle,k_flow_center,k_flow_edge,k_flow_middle,log10_E0,log10_mu0,m
1,3,1.0204955621080919e-13,-1.5213090583823359,0.1944893770218098,-0.4292388148504471,0.29110545331818727,0.9292196225055515,1.9100352141157957,0.8463248284081264,-6.455706943665223,-1.1316042872276644,0.28085935441195775
2,0,8.942546719131193e-13,1.16962815415433,0.07927318453338361,0.20213670036758158,0.4860464350171314,0.665577093495334,1.1061534119780394,0.9963582460390863,-7.677139945092914,-3.7239687421899514,0.31423994972870883
3,2,1.0012026962777769e-12,1.0734183225063951,-0.3874497473975713,-0.36513162199514626,0.014107616600881667,1.9832536327533503,1.4027135779756694,0.7382433056322231,-7.104135323690176,-3.603513385626413,0.30837606748035196
4,4,1.112154909127739e-12,-0.19135112411663968,0.14136123443580995,-0.3765242251148371,0.1287920634626878,0.5675742522332428,1.1819092895472207,1.5424056264310089,-9.086377507137794,-3.896116092035944,0.5158480833171457
5,1,1.3349201196302872e-12,-0.2831651086039795,-0.4170858752672626,-0.209960035166053,0.21099688813019113,1.18018784017288,1.3484620109199144,1.9496308966491174,-8.827333289797288,-3.9332218193694835,0.6252783575281121
